Base Currency,Quote Currency,Prime Supported,Exchange Supported,Custody Supported,Tradeable in NY?
1INCH,BTC,Yes,Yes,Yes,No
1INCH,USD,Yes,Yes,Yes,No
AAVE,BTC,Yes,Yes,Yes,Yes
AAVE,USD,Yes,Yes,Yes,Yes
ABT,USD,Yes,Yes,Yes,No
ABT,USD,Yes,Yes,Yes,No
ACH,USD,Yes,Yes,Yes,Yes
ACH,USDT,Yes,Yes,Yes,Yes
ACS,USD,Yes,Yes,Yes,No
ADA,BTC,Yes,Yes,Yes,Yes
ADA,BTC,Yes,Yes,Yes,Yes
ADA,ETH,Yes,Yes,Yes,Yes
ADA,ETH,Yes,Yes,Yes,Yes
ADA,EUR,Yes,Yes,Yes,Yes
ADA,EUR,Yes,Yes,Yes,Yes
ADA,USD,Yes,Yes,Yes,Yes
ADA,USD,Yes,Yes,Yes,Yes
ADA,USDC,Yes,No,Yes,Yes
ADA,USDC,Yes,No,Yes,Yes
ADA,USDT,Yes,Yes,Yes,Yes
ADA,USDT,Yes,Yes,Yes,Yes
AERGO,USD,Yes,Yes,Yes,Yes
AERGO,USD,Yes,Yes,Yes,Yes
AGLD,USD,Yes,Yes,Yes,Yes
AIOZ,USD,Yes,Yes,Yes,No
AIOZ,USD,Yes,Yes,Yes,No
AIOZ,USD,Yes,Yes,Yes,No
AIOZ,USDT,Yes,No,Yes,No
AIOZ,USDT,Yes,No,Yes,No
AIOZ,USDT,Yes,No,Yes,No
ALCX,USD,Yes,Yes,Yes,Yes
ALEPH,USD,Yes,Yes,Yes,No
ALEPH,USD,Yes,Yes,Yes,No
ALGO,BTC,Yes,Yes,Yes,Yes
ALGO,USD,Yes,Yes,Yes,Yes
ALICE,USD,Yes,Yes,Yes,Yes
ALICE,USD,Yes,Yes,Yes,Yes
AMP,USD,Yes,Yes,Yes,Yes
ANKR,USD,Yes,Yes,Yes,Yes
APE,USD,Yes,Yes,Yes,Yes
APE,USDT,Yes,Yes,Yes,Yes
API3,USD,Yes,Yes,Yes,Yes
API3,USD,Yes,Yes,Yes,Yes
API3,USDT,Yes,Yes,Yes,Yes
API3,USDT,Yes,Yes,Yes,Yes
APT,USD,Yes,Yes,Yes,No
APT,USDT,Yes,Yes,Yes,No
ARB,USD,Yes,Yes,Yes,No
ARB,USD,Yes,Yes,Yes,No
ARPA,USD,Yes,Yes,Yes,Yes
ARPA,USDT,Yes,Yes,Yes,Yes
ASM,USD,Yes,Yes,Yes,Yes
ASM,USDT,Yes,Yes,Yes,Yes
AST,USD,Yes,Yes,Yes,No
AST,USD,Yes,Yes,Yes,No
ATA,USD,Yes,Yes,Yes,No
ATA,USDT,Yes,Yes,Yes,No
ATOM,BTC,Yes,Yes,Yes,Yes
ATOM,USD,Yes,Yes,Yes,Yes
ATOM,USDT,Yes,Yes,Yes,Yes
AUCTION,USD,Yes,Yes,Yes,Yes
AUDIO,USD,Yes,Yes,Yes,No
AURORA,USD,Yes,Yes,Yes,No
AURORA,USD,Yes,Yes,Yes,No
AVAX,BTC,Yes,Yes,Yes,Yes
AVAX,USD,Yes,Yes,Yes,Yes
AVAX,USDT,Yes,Yes,Yes,Yes
AVT,USD,Yes,Yes,Yes,Yes
AVT,USD,Yes,Yes,Yes,Yes
BADGER,USD,Yes,Yes,Yes,Yes
BADGER,USDT,Yes,Yes,Yes,Yes
