Transaction ID,Transaction Type,Date & time,Asset Acquired,"Quantity Acquired (Bought, Received, etc)",Cost Basis (incl. fees and/or spread) (USD),Data Source,"Asset Disposed (Sold, Sent, etc)",Quantity Disposed,Proceeds (excl. fees and/or spread) (USD)
6a07a8cb-ac49-5d8b-ab4e-6d30181f6a3b,Buy,2018-02-23T06:36:25Z,ETH,0.20948955,200,Coinbase,,,
da8f483e-8f00-55e1-921c-ffed7fcbe622,Receive,2018-02-23T06:41:40Z,BTC,0.001026,0,Not available,,,
952fbd95-cc28-54fd-aaed-7c4941de7561,Buy,2018-03-08T05:59:23Z,LTC,1.60612326,300,Coinbase,,,
84fd1f0a-78d0-5f2a-83d9-38e14b5c8872,Send,2018-03-14T07:16:10Z,,,,,ETH,0.20948955,199.9999999999999999988583
042f5c1d-ffe9-55bb-b8da-1a1310283e6e,Send,2018-03-14T07:20:31Z,,,,,LTC,1.60612326,300.000000000000000054684456
bad05f9a-d15a-568e-a959-64674c71aaaa,Send,2018-03-18T07:53:10Z,,,,,BTC,0.001026,0
12597ff9-9361-5061-b8dc-7270897b1886,Buy,2018-03-21T04:43:18Z,ETH,0.84118497,500,Coinbase,,,
00b8c844-b690-5cfb-b19e-450ff47421de,Send,2018-03-21T05:16:53Z,,,,,ETH,0.84118497,499.99999999999999996490961
17a7c010-8839-5b63-9eba-d98109f76947,Buy,2018-03-31T05:20:09Z,ETH,0.72018157,300,Coinbase,,,
16cf548e-1501-5c53-bba1-ededd2da40bf,Send,2018-03-31T05:35:55Z,,,,,ETH,0.72018157,300.000000000000000033039961
2e26be7a-b546-591e-baa3-6f2c852888b3,Buy,2018-04-15T03:40:44Z,LTC,0.74991451,100,Coinbase,,,
489a6ff9-f6b5-5c22-b561-c0e734d1730c,Send,2018-04-15T04:01:30Z,,,,,LTC,0.15814,21.087737054187683334762
0a8957d4-dd55-52f3-8145-eb07ecca0f37,Send,2018-04-15T04:58:25Z,,,,,LTC,0.59177451,78.912262945812316640090733
b258d9ba-c7f6-5fb4-a3a4-dc501f0b16b0,Buy,2018-04-19T06:16:20Z,LTC,1.39374227,200,Coinbase,,,
0d78f486-798c-5c44-9e88-378ed5ee1faf,Send,2018-04-19T06:29:23Z,,,,,LTC,1.39374227,200.000000000000000007113864
fffff67d-1cb8-55c9-b00a-7bd3d7436dad,Buy,2018-04-20T03:17:15Z,ETH,0.51219739,300,Coinbase,,,
5cbf3c12-ef2d-5040-88cc-de424ea19270,Send,2018-04-20T03:34:37Z,,,,,ETH,0.51219739,299.999999999999999983006466
10e5576e-a7b7-5e3d-a3f4-ab09d818f17a,Buy,2018-04-25T16:15:25Z,ETH,0.48252732,300,Coinbase,,,
edc53af4-d52d-5ac6-a590-8ce8085b9b1f,Send,2018-04-25T16:36:03Z,,,,,ETH,0.48252732,299.99999999999999999533482
a5e84e6f-d11e-58a5-972e-5e7f86c6735f,Buy,2018-04-27T03:45:43Z,ETH,0.30020054,200,Coinbase,,,
333fc869-63ed-580f-af1e-8cce73a39c7f,Send,2018-04-27T04:04:02Z,,,,,ETH,0.30020054,199.999999999999999986572618
d862c930-20ae-584c-9ca5-e37ff48f5993,Buy,2018-05-22T05:59:38Z,BTC,0.02246768,200,Coinbase,,,
33f4bc42-3adf-5cfe-b46e-54d03bfaeaaf,Send,2019-02-11T05:24:02Z,,,,,BTC,0.02246768,200.000000000000000001033584
331c99fb-7060-5d69-9381-fd87c0db6d0a,Buy,2019-04-13T23:16:42Z,BTC,0.05792749,300,Coinbase,,,
e6c873bc-c649-5e40-a1a0-8f403b4bd090,Send,2019-05-17T01:28:30Z,,,,,BTC,0.05792746,299.999844633351108426781128
236fa3a8-e262-51bb-bc91-c851fec86cb6,Buy,2020-11-06T04:31:02Z,BTC,0.01259609,200,Coinbase,,,
959068ec-5246-5864-8875-f96b84b090c9,Buy,2020-11-06T04:32:57Z,XRP,782.866816,200,Coinbase,,,
b58e4cc3-1832-52e9-912e-fd93ca5f252a,Buy,2020-11-13T18:28:36Z,ETH,0.41472878,200,Coinbase,,,
85044adf-80e4-5d67-a6ec-d4340bd705db,Buy,2020-11-16T18:24:30Z,LTC,2.70871702,200,Coinbase,,,
f6eab699-cca3-5b24-a9b6-fe2c9c564944,Buy,2020-11-18T17:49:06Z,ETH,0.41301614,200,Coinbase,,,
4f658b2e-2373-558c-8a34-6ba66ffd4877,Buy,2020-11-18T17:49:36Z,LTC,2.63445573,200,Coinbase,,,
7963b8b4-1b08-5a8a-9dc8-8577ba0cf0f3,Buy,2020-12-15T17:45:53Z,BTC,0.01009995,200,Coinbase,,,
7306f12c-f702-5e6c-885d-90459c5f2b23,Sell,2021-01-03T18:35:37Z,,,,,XRP,782.866816,172.9000000000000152187648
aa3e9432-ec36-5883-9476-0bfb3edd51e2,Send,2021-01-03T18:46:38Z,,,,,BTC,0.02269607,400.000155366648891571110913
aea02dcb-d709-55aa-9a68-df8c49e74c39,Send,2021-01-03T20:56:14Z,,,,,ETH,0.82774492,399.99999999999999998192492
80979244-8854-5083-8e3e-2e42462b171d,Send,2021-01-03T21:29:07Z,,,,,LTC,5.34317275,400.000000000000000162134017
db7add0b-8be6-561a-b31e-2dc75f3c0303,Buy,2022-03-18T23:21:22Z,USDC,100,100,Coinbase,,,
d2844b11-16b0-5b61-897c-add8fc5cdb04,Sell,2022-03-25T19:18:41Z,,,,,USDC,100,100
00c27277-4b70-5530-b603-86e7e8855cdb,Buy,2022-03-25T19:21:19Z,USDC,400,400,Coinbase,,,
7d506fdd-849b-510c-b244-a35c0436d9e0,Sell,2022-03-25T19:22:54Z,,,,,USDC,400,400
8fff3792-f8e6-519a-b0ce-6c1c4e996db4,Rewards,2022-04-04T19:43:58Z,USDC,0.002807,0.002807,Coinbase,,,
f511a369-ddd7-53f4-b816-19badf71a298,Buy,2022-07-23T18:19:50Z,USDC,3000,3000,Coinbase,,,
5538933f-982b-5329-952b-5b41612a8464,Send,2022-07-28T03:56:35Z,,,,,USDC,1000.914808,1000.914808
037af3e2-27c8-57bc-b536-95a680ae3529,Send,2022-07-28T04:15:17Z,,,,,USDC,1999.087999,1999.087999
c8b88819-807b-5df5-9cf4-fc12c7b30183,Rewards,2022-08-05T16:08:58Z,USDC,0.054265,0.054265,Coinbase,,,
70b7d890-350a-5181-8495-8abba7c7b59a,Buy,2022-08-17T18:13:57Z,USDC,500,500,Coinbase,,,
a264fc60-5b61-5232-9f98-70845740351e,Send,2022-08-18T21:50:52Z,,,,,USDC,499.271137,499.271137
566f5747-b51f-5f78-adb0-8391466f7d9a,Buy,2022-08-24T20:32:38Z,USDC,500,500,Coinbase,,,
ab21c07b-6044-5ba9-b960-f722b791f9f9,Buy,2022-08-27T17:54:33Z,USDC,250,250,Coinbase,,,
754a1950-d39e-5b4e-a480-02e8260029db,Send,2022-09-01T16:45:17Z,,,,,USDC,250,250
67ced7f5-a1b6-54ba-98fc-69550dcc6154,Buy,2022-09-02T00:26:31Z,USDC,250,250,Coinbase,,,
5c151708-5442-51ec-a2c5-72cfd5861761,Rewards,2022-09-04T04:36:55Z,USDC,0.021417,0.021417,Coinbase,,,
51fccfdc-b4fc-54d8-8efd-4645e286db48,Buy,2022-09-09T00:26:30Z,USDC,250,250,Coinbase,,,
b743de01-f9bf-57d8-82e4-590bf7138bf0,Send,2022-09-09T03:20:08Z,,,,,USDC,501.518152,501.518152
1d8210cd-a29c-5aa6-bf38-809f2193e707,Buy,2022-09-16T03:08:49Z,USDC,1500,1500,Coinbase,,,
3a47b985-2b9c-54ad-bf32-3926b542a6c5,Send,2022-09-16T03:16:50Z,,,,,USDC,1501.264042,1501.264042
1750e650-af0f-52b5-8a5a-8838812aebaa,Buy,2022-09-23T00:25:25Z,USDC,250,250,Coinbase,,,
ee7b0279-c250-53ee-ab23-6b564a607dc7,Send,2022-10-01T17:49:07Z,,,,,USDC,500.809433,500.809433
4b5b20c6-1ef5-5d95-9200-2a3140af1afb,Rewards,2022-10-03T19:50:31Z,USDC,0.077838,0.077838,Coinbase,,,
8e003b85-3a26-5967-a7b8-8b33ae17edd3,Buy,2022-10-07T00:28:23Z,USDC,250,250,Coinbase,,,
34a7d09e-004c-501a-95d9-57c489b60a69,Buy,2022-10-07T00:45:25Z,ETH,0.37503863,520,Coinbase,,,
0914c1e9-3f6e-5e09-81d1-8ff645e851ba,Convert,2022-10-07T01:33:42Z,,,,,ETH,0.221036,306.4716826637298669708764
657ac798-efa2-52a0-9c2c-42682e0eb859,Convert,2022-10-07T01:33:43Z,ETH2,0.221036,306.4716826637298669708764,Coinbase,,,
057e2b8b-3da2-5a6d-aee8-0829cecf5980,Buy,2022-10-07T17:36:07Z,USDC,230,230,Coinbase,,,
da2c1c7e-3b59-508b-ab21-95f36eb90c79,Send,2022-10-07T17:42:26Z,,,,,USDC,497.290756,497.290756
124c99e2-b943-5298-b43d-25d2cbccbd62,Buy,2022-10-08T20:58:30Z,USDC,800,800,Coinbase,,,
aff2f89f-9c4b-56c7-92ca-12ab506ec2e0,Reward,2022-10-09T04:21:34Z,ETH,0.022883382469041,30.001258586036204,Coinbase,,,
7cb4b0b6-819d-57f5-b1ed-92a807cdf25c,Rewards,2022-10-12T17:55:05Z,ETH2,0.00004386,0.0807024,Coinbase,,,
5c7ea55e-4ef3-55ff-b597-bbe8bd79555c,Rewards,2022-10-15T18:14:02Z,ETH2,0.00006458,0.1188272,Coinbase,,,
91a3db03-6272-56cc-b728-7768e9616db5,Send,2022-10-17T03:49:53Z,,,,,USDC,1030,1030
0e4c7b16-8cad-519f-8379-d054f5fc5a10,Rewards,2022-10-19T00:09:38Z,ETH2,0.00006629,0.1219736,Coinbase,,,
647d396d-ba5b-58e6-bb28-b367380eded2,Buy,2022-10-21T00:16:51Z,USDC,250,250,Coinbase,,,
9de257a7-284d-5433-9882-5fc8f4af8bfb,Rewards,2022-10-25T01:01:46Z,ETH2,0.00006429,0.1182936,Coinbase,,,
dc296a4f-9093-53d4-98e2-599d38f4c5c1,Rewards,2022-10-26T04:45:24Z,ETH2,0.00006652,0.1223968,Coinbase,,,
8c18eb37-b2ab-5d1c-a440-0854e33f2f4e,Rewards,2022-10-27T17:24:59Z,ETH2,0.00006434,0.1183856,Coinbase,,,
d6979919-80ce-585a-b4e0-6aecde5f9adc,Rewards,2022-10-31T23:34:41Z,ETH2,0.00006944,0.1277696,Coinbase,,,
