Date,Ticker,Price,Volume
2024-01-19,GOOG,958.18,7111
2024-01-05,GOOG,1843.74,27598
2024-01-23,AAPL,674.44,80222
2024-01-07,AMZN,875.37,32532
2024-01-17,AAPL,1072.01,51260
2024-01-04,AMZN,723.09,33491
2024-01-13,AMZN,676.85,27876
2024-01-08,AAPL,329.54,5317
2024-01-17,AAPL,397.96,61690
2024-01-28,AAPL,1940.21,98867
2024-01-30,GOOG,124.58,10318
2024-01-14,GOOG,732.37,58810
2024-01-13,GOOG,1639.5,3092
2024-01-10,MSFT,1565.38,59338
2024-01-11,AMZN,1516.42,86452
2024-01-20,GOOG,722.1,28426
2024-01-23,AAPL,1574.18,34327
2024-01-07,AMZN,110.41,11013
2024-01-17,MSFT,637.62,83546
2024-01-06,AAPL,1775.3,70056
2024-01-22,GOOG,,30945
2024-01-18,AAPL,266.76,16718
2024-01-04,AAPL,1234.71,18285
2024-01-20,AAPL,1586.59,58044
2024-01-13,MSFT,937.55,29409
2024-01-30,AMZN,,70184
2024-01-30,GOOG,1687.32,10837
2024-01-27,MSFT,1886.62,22975
2024-01-23,AMZN,1622.44,4886
2024-01-08,MSFT,439.91,41822
2024-01-05,AMZN,1286.31,64161
2024-01-24,AMZN,344.22,2741
2024-01-08,MSFT,151.36,94435
2024-01-26,GOOG,763.22,9903
2024-01-20,AAPL,463.41,78295
2024-01-16,AMZN,1758.07,81172
2024-01-14,AMZN,1204.15,61429
2024-01-06,AMZN,1258.17,30788
2024-01-28,MSFT,317.05,73026
2024-01-12,AMZN,872.61,5253
2024-01-01,AMZN,1864.18,59071
2024-01-27,AMZN,1851.39,5233
2024-01-01,MSFT,1223.77,84930
2024-01-08,GOOG,1323.67,13344
2024-01-10,GOOG,573.11,95886
2024-01-22,AAPL,359.16,82436
2024-01-03,MSFT,875.16,46860
2024-01-17,GOOG,689.51,79330
2024-01-05,AAPL,713.31,42424
2024-01-04,GOOG,1510.69,43053
