SECID;SHORTNAME;NAME;TYPENAME;ISIN;REGISTRY_CLOSE_DATE;LISTLEVEL
ABRD;АбрауДюрсо;Абрау-Дюрсо ПАО ао;Акция обыкновенная;RU000A0JS5T7;19.11.2016;3
AFKS;Система ао;"АФК ""Система"" ПАО ао";Акция обыкновенная;RU000A0DQZE3;07.10.2016;1
AFLT;Аэрофлот;Аэрофлот-росс.авиалин(ПАО)ао;Акция обыкновенная;RU0009062285;08.07.2014;1
AKRN;Акрон;Акрон ПАО ао;Акция обыкновенная;RU0009028674;20.09.2016;1
ALBK;БестЭфБ ао;Бест Эффортс Банк ПАО ао;Акция обыкновенная;RU000A0JS2M9;;3
ALNU;АЛРОСА-Нюр;АЛРОСА-Нюрба ПАО ао;Акция обыкновенная;RU000A0JP468;23.12.2016;3
ALRS;АЛРОСА ао;АЛРОСА ПАО ао;Акция обыкновенная;RU0007252813;19.07.2016;1
AMEZ;АшинскийМЗ; Ашинский метзавод ПАО ао;Акция обыкновенная;RU000A0B88G6;;2
APTK;Аптеки36и6;"ПАО ""Аптечная сеть 36,6"" ао";Акция обыкновенная;RU0008081765;;2
AQUA;РусАква ао;Русская Аквакультура ПАО ао;Акция обыкновенная;RU000A0JQTS3;;2
ARMD;Армада;АРМАДА ПАО ао;Акция обыкновенная;RU000A0JP4J4;;3
ARSA;Арсагера;УК Арсагера ПАО-ао;Акция обыкновенная;RU000A0JP0Q7;;3
ASSB;АстрЭнСб;Астраханская ЭСК ПАО;Акция обыкновенная;RU000A0D8MM8;;3
AVAN;Авангрд-ао;"АКБ ""АВАНГАРД"" ПАО ао";Акция обыкновенная;RU000A0DM7B3;;3
AVAZ;АВТОВАЗ ао;АВТОВАЗ (ПАО) ао;Акция обыкновенная;RU0009071187;;3
AVAZP;АВТОВАЗ ап;АВТОВАЗ (ПАО) ап;Акция привилегированная ;RU000A0JQ433;;3
BANE;Башнефт ао;Башнефть АНК ао;Акция обыкновенная;RU0007976957;15.07.2016;1
BANEP;Башнефт ап;Башнефть АНК ап;Акция привилегированная ;RU0007976965;15.07.2016;1
BGDE;Деликатесы;Богородские деликатесы ПАО ао;Акция обыкновенная;RU000A0JSVY3;;3
BISV;БашИнСв ао;Башинформсвязь(ПАО) ао;Акция обыкновенная;RU0009059216;22.06.2016;3
BISVP;БашИнСв ап;Башинформсвязь(ПАО) ап;Акция привилегированная ;RU0009100176;22.06.2016;3
BLNG;Белон ао;Белон ОАО ао;Акция обыкновенная;RU000A0J2QG8;;3
BRZL;БурЗолото;Бурятзолото ПАО ао;Акция обыкновенная;RU0009288658;;3
BSPB;БСП ао;"ПАО ""Банк ""Санкт-Петербург"" ао";Акция обыкновенная;RU0009100945;07.06.2016;1
CBOM;МКБ ао;МКБ ПАО ао;Акция обыкновенная;RU000A0JUG31;31.07.2015;1
CHEP;ЧТПЗ ао;ЧТПЗ ПАО ао;Акция обыкновенная;RU0009066807;;3
CHGZ;РН-ЗапСиб;РН-Западная Сибирь ПАО ао;Акция обыкновенная;RU0009082291;;3
CHKZ;ЧКПЗ ао;ЧКПЗ ПАО ао;Акция обыкновенная;RU000A0JNST0;05.07.2016;3
CHMF;СевСт-ао;Северсталь (ПАО)ао;Акция обыкновенная;RU0009046510;20.06.2017;1
CHMK;ЧМК ао;ЧМК ПАО ао;Акция обыкновенная;RU0007665170;;3
CHZN;ЧЦЗ ао;Челябинский цинк. завод ао;Акция обыкновенная;RU0009093918;;2
CLSB;ЧелябЭС ао;Челябэнергосбыт ПАО;Акция обыкновенная;RU000A0EABG1;;3
CLSBP;ЧелябЭС ап;Челябэнергосбыт ПАО ап;Акция привилегированная ;RU000A0EABH9;;3
CNTL;Телеграф;Центральный Телеграф ПАО ао;Акция обыкновенная;RU0007665147;08.07.2016;3
CNTLP;Телеграф-п;Центральный Телеграф ПАО ап;Акция привилегированная ;RU0007665139;08.07.2016;3
DASB;ДагСб ао;ао Дагестанская энергосб.комп.;Акция обыкновенная;RU000A0F63G0;;3
DGBZ;Дорогбж ао;Дорогобуж ПАО ао;Акция обыкновенная;RU0007661674;15.06.2016;3
DIOD;iЗаводДИОД;Завод ДИОД ПАО ао;Акция обыкновенная;RU000A0JQWC1;25.11.2013;3
DIXY;ДИКСИ ао;"ГК ""ДИКСИ"" ао";Акция обыкновенная;RU000A0JP7H1;;1
